Altium Designer Pick and Place Locations
C:\Users\chase.hathaway\Documents\Emergence\node24_7-29-18\node24\release\assy\Pick Place\Pick Place for node24(DEV).txt

========================================================================================================================
File Design Information:

Date:       30/07/18
Time:       00:30
Revision:   Not in VersionControl
Variant:    DEV
Units used: mil

Designator Comment                                                   Layer       Footprint                                             Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                               
C82        CAP_ALUM_10V_1000UF_10MM_UWT1A102MNL1GS                   TopLayer    CAPAE_D10_BH10MM3                                     -442.913      -2116.142     180      "CAP ALUM 1000UF 20% 10V SMD"                                                                                                             
SW4        SWITCH_CK_TACTILE_SPST_SMD_PTS645SM43SMTR92LFS            TopLayer    SWITCH_CK_TACT_PTS645SM43SMTR92                       1003.937      -1692.913     360      "SWITCH TACTILE SPST-NO 0.05A 12V"                                                                                                        
R28        1K5                                                       TopLayer    RESC0603(1608)_L                                      728.346       -1771.653     90       "1K5 0.1W 1% 0603 (1608 Metric)  SMD"                                                                                                     
J1L        CONN_ASSMANN_JACK_MOD_4P4C_A-2014-3-4-N-T-R               BottomLayer CON_JACK_MOD_4P4C_ASSMANN_A-2014-3-4-N-T-R            -484.449      610.234       270      "CONN MOD JACK 4P4C VERT"                                                                                                                 
J3L        CONN_HDR_1X4_2MM4_76384-404LF                             BottomLayer HDR_1x4_2R54_V_M                                      -88.583       675.985       270      ""                                                                                                                                        
C16        100nF                                                     TopLayer    CAPC0603(1608)100_L                                   2639.764      -2470.472     360      "CAP 100nF 50V ±20% 0603 (1608 Metric) Thickness 1mm SMD"                                                                                 
C17        100nF                                                     TopLayer    CAPC0603(1608)100_L                                   1200.787      -3001.969     180      "CAP 100nF 50V ±20% 0603 (1608 Metric) Thickness 1mm SMD"                                                                                 
C18        100nF                                                     TopLayer    CAPC0603(1608)100_L                                   2844.488      -1998.031     360      "CAP 100nF 50V ±20% 0603 (1608 Metric) Thickness 1mm SMD"                                                                                 
C19        100nF                                                     TopLayer    CAPC0603(1608)100_L                                   2480.315      -1643.701     90       "CAP 100nF 50V ±20% 0603 (1608 Metric) Thickness 1mm SMD"                                                                                 
C20        100nF                                                     TopLayer    CAPC0603(1608)100_L                                   2175.197      -1643.701     90       "CAP 100nF 50V ±20% 0603 (1608 Metric) Thickness 1mm SMD"                                                                                 
